first,last,party,state,ideology_score,region,year,source,likes,shares,views,message,independent_label,sentiment,model_label,emotion,confidence,dominant_topic,topic_probability
Alex,Padilla,D,CA,-0.375,Midwest,2023.0,X,104,28.0,4756,climate change harming health planetit hurting nation infrastructure joined discus need invest climate resilient system,opportunity,1,1,disappointment,0.5724942088127136,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.941950567176734
Alex,Padilla,D,CA,-0.375,Midwest,2024.0,X,68,33.0,8176,news billion dollar epa headed ca port build zeroemission infrastructure historic funding huge step forward addressing climate change improving air quality,opportunity,1,1,neutral,0.8266581892967224,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.9573645110496121
Alex,Padilla,D,CA,-0.375,Midwest,2023.0,X,92,20.0,6516,hottest year record earth science clear ca wait act climate change time clean energy transition clean job curbing greenhouse gas emission,opportunity,1,1,neutral,0.4443967044353485,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.6862287766198212
Amy,Klobuchar,D,MN,-0.283,Midwest,2023.0,X,18,9.0,3985,climate crisis happening need confront sense urgency community historically disenfranchised likely experience disproportionate share effect climate change environmental disaster,opportunity,1,1,neutral,0.6603906154632568,"climate, change, energy, american, new, threat, clean, time, need, job",0.9457506222671724
Amy,Klobuchar,D,MN,-0.283,Midwest,2022.0,X,1600,269.0,,climate change isnt happening sometime futureits happening meet moment invest clean energy pave way carbon neutral economy time pas inflation reduction act,opportunity,1,1,disapproval,0.529295027256012,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9590711468225273
Amy,Klobuchar,D,MN,-0.283,Midwest,2021.0,X,510,96.0,,cant ignore climate change existential threat time,opportunity,1,1,neutral,0.520693838596344,"climate, change, energy, american, new, threat, clean, time, need, job",0.8835164884875971
Angus,King,I,ME,-0.164,Northeast,2024.0,X,11,4.0,2233,violent weather climate change done serious damage coastal community economy thank bringing maine leader together discus best support working waterfront,opportunity,1,1,gratitude,0.9537118077278137,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9487557272621366
Angus,King,I,ME,-0.164,Northeast,2024.0,X,179,66.0,23200,climate change isnt theory maine reality dealing constantly massive storm seeing underscore urgency confronting one way getting fossil fuel electrifying economy ca fiddle planet burn,opportunity,1,1,neutral,0.7303864359855652,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9572059553211492
Angus,King,I,ME,-0.164,Northeast,2020.0,X,72,30.0,,maine climate action plan spell threat climate change pose maine lay respond stellar work team let work together confront challenge preserve planet next generation,opportunity,1,1,neutral,0.9019365310668945,"climate, change, energy, american, new, threat, clean, time, need, job",0.7285817936745113
Catherine,Cortez Masto,D,NV,-0.36,West,2022.0,X,9,3.0,,im fighting tribal community nevada making sure support need build resilient infrastructure address impact climate change,opportunity,1,1,neutral,0.8424136638641357,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.9522850932888897
Catherine,Cortez Masto,D,NV,-0.36,West,2022.0,X,252,51.0,,last week introduced bill boost solar manufacturing industry create goodpaying clean energy job nevadan help continue fight climate change,opportunity,1,1,neutral,0.8551556468009949,"climate, change, energy, american, new, threat, clean, time, need, job",0.9521578040640614
Catherine,Cortez Masto,D,NV,-0.36,West,2022.0,X,16,6.0,,nevada sits frontlines climate crisis sen fighting action planet need delivering community proud endorse work securing billion prevent fight wildfire protecting state public land,opportunity,1,1,neutral,0.7632110118865967,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.957396240605764
Chris,Coons,D,DE,-0.233,Northeast,2024.0,X,6,4.0,1370,climate change making flooding dangerous many part nation including delaware community become prone climate disaster must prioritize building floodresistant infrastructure,opportunity,1,1,neutral,0.2919762432575226,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9371365565775618
Chris,Coons,D,DE,-0.233,Northeast,2024.0,X,47,30.0,6716,extreme heat driven climate change killing american inflation reduction act biggest climate investment world climate change adapt current effectscongress need continue developing policy mitigate,opportunity,1,-1,neutral,0.7581081986427307,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.7351032488227871
Chris,Coons,D,DE,-0.233,Northeast,2024.0,X,56,12.0,8227,bill nye know science kamala harris climate change one biggest challenge face need leader who prepared act,opportunity,1,1,neutral,0.9236012101173401,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9415264201307305
Chris,Murphy,D,CT,-0.315,Northeast,2020.0,X,49000,10000.0,,year nearly heart attack saw exit poll iowa saying health care number one issue climate change moan like house fire people care renovation,opportunity,1,1,neutral,0.8190915584564209,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9420146314139783
Chris,Murphy,D,CT,-0.315,Northeast,2021.0,X,34000,3800.0,,kid dont understand work anything climate change anything else matter dont fix wonder,opportunity,1,1,disapproval,0.4942651093006134,"climate, change, gas, emission, greenhouse, family, impact, im, crisis, dont",0.9182082363854851
Chris,Murphy,D,CT,-0.315,Northeast,2024.0,X,224,38.0,21300,climate change really disrupts northeastern winter economy walk today met chris run snow plow repair business snow repair he third generation entrepreneur franklin adapts customizes rehabs vintage jeep,opportunity,1,1,disappointment,0.7158525586128235,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9318680580175966
Chuck,Grassley,R,IA,0.341,Midwest,2021.0,https://www.grassley.senate.gov/news/remarks/grassley-backs-practical-solutions-for-adapting-to-climate-change-welcomes-iowa-witness,,,,course hearing weve heard sensationalist alarmist rhetoric used mislead public climate change draw support topdown policy weve heard broad unsubstantiated assertion impending disaster destruction claim arent supported robust review science,risk,-1,-1,neutral,0.5950787663459778,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.95743735015465
Chuck,Grassley,R,IA,0.341,Midwest,2024.0,https://www.grassley.senate.gov/news/remarks/grassley-backs-practical-solutions-for-adapting-to-climate-change-welcomes-iowa-witness,,,,want learn legislate based discussion constituent expert like climate scientist patrick brown,opportunity,1,1,neutral,0.6752238273620605,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9174639472626925
